Id,Category
1,C
2,B
3,B
4,B
5,C
6,A
7,B
8,B
9,A
10,B
11,A
12,C
13,A
14,B
15,C
16,C
17,A
18,C
19,B
20,C
21,A
22,A
23,B
24,D
25,C
26,D
27,C
28,D
29,C
30,C
31,C
32,D
33,B
34,C
35,C
36,C
37,B
38,B
39,C
40,B
41,D
42,C
43,D
44,D
45,B
46,C
47,B
48,C
49,D
50,D
51,C
52,A
53,C
54,C
55,D
56,D
57,B
58,C
59,D
60,A
61,B
62,D
63,C
64,D
65,C
66,A
67,A
68,B
69,C
70,D
71,D
72,B
73,B
74,D
75,B
76,A
77,A
78,C
79,C
80,B
81,C
82,D
83,A
84,C
85,D
86,D
87,C
88,D
89,B
90,C
91,C
92,C
93,B
94,C
95,C
96,C
97,A
98,C
99,A
100,B
101,C
102,A
103,C
104,B
105,C
106,B
107,C
108,A
109,C
110,B
111,C
112,C
113,D
114,B
115,C
116,B
117,B
118,C
119,B
120,C
121,B
122,D
123,D
124,B
125,C
126,C
127,A
128,A
129,D
130,A
131,C
132,D
133,C
134,A
135,D
136,C
137,D
138,B
139,A
140,C
141,C
142,C
143,D
144,C
145,B
146,A
147,C
148,C
149,B
150,A
151,B
152,D
153,B
154,B
155,B
156,C
157,A
158,D
159,A
160,A
161,B
162,D
163,C
164,A
165,A
166,B
167,D
168,D
169,C
170,D
171,C
172,C
173,A
174,D
175,D
176,D
177,D
178,C
179,C
180,B
181,A
182,C
183,C
184,C
185,A
186,C
187,D
188,B
189,D
190,B
191,A
192,D
193,B
194,A
195,D
196,C
197,B
198,C
199,D
200,A
201,A
202,C
203,D
204,B
205,A
206,C
207,D
208,D
209,D
210,C
211,C
212,D
213,D
214,C
215,B
216,C
217,B
218,B
219,C
220,D
221,C
222,D
223,B
224,D
225,D
226,C
227,D
228,B
229,B
230,A
231,B
232,D
233,B
234,A
235,D
236,D
237,B
238,C
239,C
240,D
241,C
242,C
243,C
244,D
245,C
246,B
247,D
248,C
249,D
250,D
251,C
252,C
253,A
254,D
255,D
256,C
257,D
258,A
259,B
260,D
261,C
262,C
263,B
264,D
265,B
266,C
267,C
268,C
269,C
270,C
271,B
272,C
