feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,class
7.17284912,8.368236296,5.538547829,6.179375515,9.193187635,10.53902003,10.25318849,5.757786711,7.09378216,11.98213312,0.142850763,2.46684224,5.060625073,6.67650907,A
4.191167694,5.897299724,5.944785175,8.24636889,9.018442446,9.351617174,7.841547931,9.185678326,10.27507189,3.374108319,4.158709187,4.094036701,4.087732679,5.446690232,A
5.345508061,5.168657098,4.272498171,12.91349843,5.64692938,7.377864295,4.754142569,5.221509667,9.673442864,10.22615456,5.771918722,5.09536851,5.975201461,6.992482371,A
8.284880444,7.280406271,5.116181431,12.7244961,5.113471983,12.54825584,6.277546052,1.745729345,4.377580496,3.202658142,2.271156019,3.56146862,6.371598837,6.809364107,A
5.246310634,7.267519353,4.488415834,15.47670934,8.625227582,6.928250361,11.21057179,4.053110462,7.01775462,2.530819946,3.627361015,6.074664006,4.256374147,5.356889823,A
4.637365627,5.431180332,4.779641428,15.17189612,10.93647857,12.90628945,7.478944035,7.508148283,5.564078903,1.833345004,2.92372651,5.53492264,3.819919266,6.364256451,A
10.03135296,4.054706667,5.28311614,12.93454724,9.600121347,11.56576537,12.28383326,6.348536066,6.553758458,11.78061229,0.030788717,2.800536349,4.842555277,5.2209569,A
10.02296967,4.971778133,6.00411347,18.36029781,9.217546098,8.446879442,11.46982128,10.69189895,11.14654533,6.68266532,4.742817038,3.978385157,5.194380452,6.260885074,A
7.017268047,5.972846209,4.553980634,13.5978612,9.674776645,13.61630847,5.108076212,8.223475652,1.438526879,6.495497779,1.571784961,5.040583408,5.824862818,5.346859492,A
4.979423163,7.477042626,5.723165585,10.4735771,9.07431339,7.704223943,6.367007187,3.743195318,7.707570167,1.35886159,2.686688805,2.728735312,6.068823119,6.849906202,A
4.384914135,2.405485948,4.302208039,16.79637445,11.88514844,11.56197595,7.25950357,8.463476964,6.383531291,2.891819183,3.717531864,3.082344494,4.221757218,3.611542723,A
5.639156005,5.491639369,4.231364384,11.77755111,10.04730705,6.297332059,4.676048125,6.362488854,6.277041385,2.272703541,3.185445326,1.01814699,6.673138063,5.975414652,A
9.819206819,8.357328425,4.914358387,13.02764762,10.87431335,11.8765919,10.64043079,4.463215546,3.603824847,3.209566128,2.304406013,4.099473752,5.22725861,4.766890442,A
7.618677616,5.593053709,5.113702055,12.98072891,10.16392242,15.13712883,8.303794927,6.74293245,2.968064735,2.586255747,2.442372895,4.781062503,3.299099348,5.500568729,A
8.62188471,5.148161719,5.746482285,17.90444933,8.976843133,8.025817001,6.798314208,6.446932701,6.646699324,12.24270456,6.246923214,5.059485797,4.774383575,4.303029387,A
2.510201773,7.195821499,5.556117619,12.12421139,9.794247784,11.78193836,11.05009947,7.011562842,7.831251994,1.070203888,2.927946927,1.203921677,2.910734265,6.726397383,A
8.291959076,6.697161117,5.357282503,13.821884,6.83097682,9.088123559,11.81737476,8.35895939,2.414480465,2.826588958,3.956843917,1.997810202,5.750857951,6.166473585,A
9.630020405,3.240227613,4.318907179,12.54280536,6.349381674,7.730631318,9.404453651,8.715796782,8.84036013,3.913682784,2.212843262,0.81273092,5.142326047,4.024231873,A
4.129763391,6.465854532,5.710953278,13.319563,4.976367458,7.769921758,11.88021227,1.757957602,10.48042771,3.923270317,4.244289732,5.584882649,6.826619849,6.937465419,A
8.896864712,10.71211622,4.773972021,10.84140882,4.743082427,12.97317019,9.534801179,8.996613829,7.247705506,2.568439985,3.74476425,3.432579519,3.772670776,4.59434266,A
7.774521139,6.714602922,6.258381293,14.89360304,10.43592963,8.369335309,11.69120375,12.86383651,6.275777229,4.228599498,1.942214617,6.247965978,4.027629777,6.833755023,A
5.870732664,6.847349515,6.812459097,17.991221,8.638061222,11.67518783,12.03383283,6.723975026,4.916145843,0.273822693,2.723684147,4.852868916,6.144283994,3.941388931,A
